"District","Party","Candidate","Votes","Percent","Incumbency","Winner","Chamber","Election","Year"
"District 52","Democratic","Mia Livas Porter",49211,43.1,"No","Loser","Assembly","General",2022
"District 53","Democratic","Freddie Rodriguez (incumbent)",49221,60.1,"Yes","Winner","Assembly","General",2022
"District 53","Republican","Toni Holle",32684,39.9,"No","Loser","Assembly","General",2022
"District 54","Democratic","Miguel Santiago (incumbent)",53993,78.6,"Yes","Winner","Assembly","General",2022
"District 54","Republican","Elaine Alaniz",14704,21.4,"No","Loser","Assembly","General",2022
"District 55","Democratic","Isaac G. Bryan (incumbent)",114384,83.7,"Yes","Winner","Assembly","General",2022
"District 55","Republican","Keith Girolamo Cascio",22295,16.3,"No","Loser","Assembly","General",2022
"District 56","Democratic","Lisa Calderon (incumbent)",62079,58.5,"Yes","Winner","Assembly","General",2022
"District 56","Republican","Jessica Martinez",44105,41.5,"No","Loser","Assembly","General",2022
"District 57","Democratic","Reggie Jones-Sawyer (incumbent)",40334,100,"Yes","Winner","Assembly","General",2022
"District 58","Democratic","Sabrina Cervantes (incumbent)",50259,53.6,"Yes","Winner","Assembly","General",2022
"District 58","Republican","Bernard William Murphy",43464,46.4,"No","Loser","Assembly","General",2022
"District 59","Republican","Phillip Chen (incumbent)",113363,70,"Yes","Winner","Assembly","General",2022
"District 59","No party preference","Leon Q. Sit",48602,30,"No","Loser","Assembly","General",2022
"District 60","Democratic","Corey A. Jackson",39260,54.7,"No","Winner","Assembly","General",2022
"District 60","Republican","Hector Diaz-Nava",32574,45.3,"No","Loser","Assembly","General",2022
"District 61","Democratic","Tina Simone McKinnor (incumbent)[b]",58888,63.6,"Yes","Winner","Assembly","General",2022
"District 61","Democratic","Robert Pullen-Miles",33691,36.4,"No","Loser","Assembly","General",2022
"District 62","Democratic","Anthony Rendon (incumbent)",39442,63.9,"Yes","Winner","Assembly","General",2022
"District 62","Democratic","Maria Estrada",22285,36.1,"No","Loser","Assembly","General",2022
"District 63","Republican","Bill Essayli",82613,58.6,"No","Winner","Assembly","General",2022
"District 63","Democratic","Fauzia Rizvi",58346,41.4,"No","Loser","Assembly","General",2022
"District 64","Democratic","Blanca Pacheco",59575,61.4,"No","Winner","Assembly","General",2022
"District 64","Republican","Raul Ortiz Jr.",37426,38.6,"No","Loser","Assembly","General",2022
"District 65","Democratic","Mike Anthony Gipson (incumbent)",43118,61.7,"Yes","Winner","Assembly","General",2022
"District 65","Democratic","Fatima Iqbal-Zubair",26719,38.3,"No","Loser","Assembly","General",2022
"District 66","Democratic","Al Muratsuchi (incumbent)",99280,59.9,"Yes","Winner","Assembly","General",2022
"District 66","Republican","George Barks",66332,40.1,"No","Loser","Assembly","General",2022
"District 67","Democratic","Sharon Quirk-Silva (incumbent)",58781,53.3,"Yes","Winner","Assembly","General",2022
"District 67","Republican","Soo Yoo",51441,46.7,"No","Loser","Assembly","General",2022
"District 68","Democratic","Avelino Valencia",49385,62.3,"No","Winner","Assembly","General",2022
"District 68","Republican","Mike Tardif",29910,37.7,"No","Loser","Assembly","General",2022
"District 69","Democratic","Josh Lowenthal",62582,58.9,"No","Winner","Assembly","General",2022
"District 69","Democratic","Al Austin II",43686,41.1,"No","Loser","Assembly","General",2022
"District 70","Republican","Tri Ta",64849,53.8,"No","Winner","Assembly","General",2022
"District 70","Democratic","Diedre Thu-Ha Nguyen",55661,46.2,"No","Loser","Assembly","General",2022
"District 71","Republican","Kate Sanchez",75603,51.3,"No","Winner","Assembly","General",2022
"District 71","Republican","Matt Rahn",71730,48.7,"No","Loser","Assembly","General",2022
"District 72","Republican","Diane Dixon",116588,56.2,"No","Winner","Assembly","General",2022
"District 72","Democratic","Judie Mancuso",90730,43.8,"No","Loser","Assembly","General",2022
"District 73","Democratic","Cottie Petrie-Norris (incumbent)",75950,55.8,"Yes","Winner","Assembly","General",2022
"District 73","Republican","Steven Choi (incumbent)",60212,44.2,"Yes","Loser","Assembly","General",2022
"District 74","Republican","Laurie Davies (incumbent)",91637,52.6,"Yes","Winner","Assembly","General",2022
"District 74","Democratic","Chris Duncan",82466,47.4,"No","Loser","Assembly","General",2022
"District 75","Republican","Marie Waldron (incumbent)",100950,67.8,"Yes","Winner","Assembly","General",2022
"District 75","Republican","Randy Voepel (incumbent)",47888,32.2,"Yes","Loser","Assembly","General",2022
"District 76","Democratic","Brian Maienschein (incumbent)",78895,51.6,"Yes","Winner","Assembly","General",2022
"District 76","Republican","Kristie Bruce-Lane",73944,48.4,"No","Loser","Assembly","General",2022
"District 77","Democratic","Tasha Boerner Horvath (incumbent)",121447,60.4,"Yes","Winner","Assembly","General",2022
"District 77","Republican","Dan Downey",79637,39.6,"No","Loser","Assembly","General",2022
"District 78","Democratic","Chris Ward (incumbent)",118215,68.6,"Yes","Winner","Assembly","General",2022
"District 78","Republican","Eric E. Gonzales",54234,31.4,"No","Loser","Assembly","General",2022
"District 79","Democratic","Akilah Weber (incumbent)",67674,63.9,"Yes","Winner","Assembly","General",2022
"District 79","Republican","Corbin Sabol",38290,36.1,"No","Loser","Assembly","General",2022
"District 80","Democratic","David Alvarez (incumbent)[b]",67309,69.3,"Yes","Winner","Assembly","General",2022
"District 80","Democratic","Georgette Gómez",29869,30.7,"No","Loser","Assembly","General",2022
